Pos_x,Dir_x,Team_x,P,W_x,D_x,L_x,GF_x,GA_x,DIFF_x,Points_x,Season,TEAM_x,HOMECODE,AWAYCODE_x,TC_x,AWAYCODE_y,TIMEr_x,HTR_x,FTR_x,HT_home_goals_x,HT_away_goals_x,FT_home_goals_x,FT_away_goals_x,Sum_Goals_x,HT_Results_1_0_2_x,FT_Results_1_0_2_x,Under_Over_1.5_x,Under_Over_2.5_x,Under_Over_3.5_x,Pos_y,Dir_y,Team_y,W_y,D_y,L_y,GF_y,GA_y,DIFF_y,Points_y,TEAM_y,HOMECODE_x,AWAYCODE,TC_y,HOMECODE_y,TIMEr_y,HTR_y,FTR_y,HT_home_goals_y,HT_away_goals_y,FT_home_goals_y,FT_away_goals_y,Sum_Goals_y,HT_Results_1_0_2_y,FT_Results_1_0_2_y,Under_Over_1.5_y,Under_Over_2.5_y,Under_Over_3.5_y
3,0,VFL Rome,1,1,0,0,1,0,1,3,Season 58804,ROME,5,5,ROME AMSTERDAM,2,13:42,0:0,1:0,0,  0,1,  0,1.0,0,1,0,0,0,15,0,VFL Amsterdam,0,0,1,0,1,-1,0,AMSTERDAM,2,2,ROME AMSTERDAM,5,13:42,0:0,1:0,0,  0,1,  0,1.0,0,1,0,0,0
4,0,VFL Bern,1,0,1,0,2,2,0,1,Season 58804,BERN,16,16,BERN EDINBURGH,15,13:42,1:0,2:2,1,  0,2,  2,4.0,1,0,1,1,1,4,0,VFL Edinburgh,0,1,0,2,2,0,1,EDINBURGH,15,15,BERN EDINBURGH,16,13:42,1:0,2:2,1,  0,2,  2,4.0,1,0,1,1,1
6,0,VFL Athens,1,0,1,0,1,1,0,1,Season 58804,ATHENS,10,10,ATHENS BERLIN,3,13:42,1:0,1:1,1,  0,1,  1,2.0,1,0,1,0,0,6,0,VFL Berlin,0,1,0,1,1,0,1,BERLIN,3,3,ATHENS BERLIN,10,13:42,1:0,1:1,1,  0,1,  1,2.0,1,0,1,0,0
6,0,VFL Brussels,1,0,1,0,1,1,0,1,Season 58804,BRUSSELS,9,9,BRUSSELS LISBON,7,13:42,0:0,1:1,0,  0,1,  1,2.0,0,0,1,0,0,6,0,VFL Lisbon,0,1,0,1,1,0,1,LISBON,7,7,BRUSSELS LISBON,9,13:42,0:0,1:1,0,  0,1,  1,2.0,0,0,1,0,0
10,0,VFL Copenhagen,1,0,1,0,0,0,0,1,Season 58804,COPENHAGEN,12,12,COPENHAGEN VIENNA,13,13:42,0:0,0:0,0,  0,0,  0,0.0,0,0,0,0,0,10,0,VFL Vienna,0,1,0,0,0,0,1,VIENNA,13,13,COPENHAGEN VIENNA,12,13:42,0:0,0:0,0,  0,0,  0,0.0,0,0,0,0,0
10,0,VFL Oslo,1,0,1,0,0,0,0,1,Season 58804,OSLO,6,6,OSLO PARIS,8,13:42,0:0,0:0,0,  0,0,  0,0.0,0,0,0,0,0,10,0,VFL Paris,0,1,0,0,0,0,1,PARIS,8,8,OSLO PARIS,6,13:42,0:0,0:0,0,  0,0,  0,0.0,0,0,0,0,0
14,0,VFL London,1,0,0,1,1,2,-1,0,Season 58804,LONDON,4,4,LONDON STOCKHOLM,11,13:42,0:2,1:2,0,  2,1,  2,3.0,2,2,1,1,0,2,0,VFL Stockholm,1,0,0,2,1,1,3,STOCKHOLM,11,11,LONDON STOCKHOLM,4,13:42,0:2,1:2,0,  2,1,  2,3.0,2,2,1,1,0
16,0,VFL Ankara,1,0,0,1,0,5,-5,0,Season 58804,ANKARA,14,14,ANKARA MADRID,1,13:42,0:4,0:5,0,  4,0,  5,5.0,2,2,1,1,1,1,0,VFL Madrid,1,0,0,5,0,5,3,MADRID,1,1,ANKARA MADRID,14,13:42,0:4,0:5,0,  4,0,  5,5.0,2,2,1,1,1
3,-1,VFL Berlin,2,1,1,0,4,2,2,4,Season 58804,BERLIN,3,3,BERLIN BRUSSELS,9,13:47,2:0,3:1,2,  0,3,  1,4.0,1,1,1,1,1,13,1,VFL Brussels,0,1,1,2,4,-2,1,BRUSSELS,9,9,BERLIN BRUSSELS,3,13:47,2:0,3:1,2,  0,3,  1,4.0,1,1,1,1,1
6,1,VFL Madrid,2,1,0,1,5,3,2,3,Season 58804,MADRID,1,1,MADRID LONDON,4,13:47,0:0,0:3,0,  0,0,  3,3.0,0,2,1,1,0,7,-1,VFL London,1,0,1,4,2,2,3,LONDON,4,4,MADRID LONDON,1,13:47,0:0,0:3,0,  0,0,  3,3.0,0,2,1,1,0
8,-1,VFL Amsterdam,2,1,0,1,2,2,0,3,Season 58804,AMSTERDAM,2,2,AMSTERDAM ATHENS,10,13:47,1:1,2:1,1,  1,2,  1,3.0,0,1,1,1,0,11,1,VFL Athens,0,1,1,2,3,-1,1,ATHENS,10,10,AMSTERDAM ATHENS,2,13:47,1:1,2:1,1,  1,2,  1,3.0,0,1,1,1,0
9,1,VFL Stockholm,2,1,0,1,3,5,-2,3,Season 58804,STOCKHOLM,11,11,STOCKHOLM ROME,5,13:47,0:2,1:4,0,  2,1,  4,5.0,2,2,1,1,1,1,-1,VFL Rome,2,0,0,5,1,4,6,ROME,5,5,STOCKHOLM ROME,11,13:47,0:2,1:4,0,  2,1,  4,5.0,2,2,1,1,1
10,1,VFL Edinburgh,2,0,2,0,2,2,0,2,Season 58804,EDINBURGH,15,15,EDINBURGH ANKARA,14,13:47,0:0,0:0,0,  0,0,  0,0.0,0,0,0,0,0,16,0,VFL Ankara,0,1,1,0,5,-5,1,ANKARA,14,14,EDINBURGH ANKARA,15,13:47,0:0,0:0,0,  0,0,  0,0.0,0,0,0,0,0
12,1,VFL Paris,2,0,1,1,1,2,-1,1,Season 58804,PARIS,8,8,PARIS BERN,16,13:47,1:0,1:2,1,  0,1,  2,3.0,1,2,1,1,0,5,1,VFL Bern,1,1,0,4,3,1,4,BERN,16,16,PARIS BERN,8,13:47,1:0,1:2,1,  0,1,  2,3.0,1,2,1,1,0
14,1,VFL Lisbon,2,0,1,1,1,3,-2,1,Season 58804,LISBON,7,7,LISBON COPENHAGEN,12,13:47,0:1,0:2,0,  1,0,  2,2.0,2,2,1,0,0,4,-1,VFL Copenhagen,1,1,0,2,0,2,4,COPENHAGEN,12,12,LISBON COPENHAGEN,7,13:47,0:1,0:2,0,  1,0,  2,2.0,2,2,1,0,0
15,1,VFL Vienna,2,0,1,1,0,3,-3,1,Season 58804,VIENNA,13,13,VIENNA OSLO,6,13:47,0:2,0:3,0,  2,0,  3,3.0,2,2,1,1,0,2,-1,VFL Oslo,1,1,0,3,0,3,4,OSLO,6,6,VIENNA OSLO,13,13:47,0:2,0:3,0,  2,0,  3,3.0,2,2,1,1,0
1,0,VFL Rome,3,3,0,0,6,1,5,9,Season 58804,ROME,5,5,ROME MADRID,1,13:51,1:0,1:0,1,  0,1,  0,1.0,1,1,0,0,0,12,1,VFL Madrid,1,0,2,5,4,1,3,MADRID,1,1,ROME MADRID,5,13:51,1:0,1:0,1,  0,1,  0,1.0,1,1,0,0,0
2,-1,VFL London,3,2,0,1,10,2,8,6,Season 58804,LONDON,4,4,LONDON EDINBURGH,15,13:51,3:0,6:0,3,  0,6,  0,6.0,1,1,1,1,1,14,1,VFL Edinburgh,0,2,1,2,8,-6,2,EDINBURGH,15,15,LONDON EDINBURGH,4,13:51,3:0,6:0,3,  0,6,  0,6.0,1,1,1,1,1
5,1,VFL Copenhagen,3,1,2,0,2,0,2,5,Season 58804,COPENHAGEN,12,12,COPENHAGEN BERLIN,3,13:51,0:0,0:0,0,  0,0,  0,0.0,0,0,0,0,0,4,1,VFL Berlin,1,2,0,4,2,2,5,BERLIN,3,3,COPENHAGEN BERLIN,12,13:51,0:0,0:0,0,  0,0,  0,0.0,0,0,0,0,0
6,1,VFL Oslo,3,1,1,1,3,2,1,4,Season 58804,OSLO,6,6,OSLO LISBON,7,13:51,0:1,0:2,0,  1,0,  2,2.0,2,2,1,0,0,8,-1,VFL Lisbon,1,1,1,3,3,0,4,LISBON,7,7,OSLO LISBON,6,13:51,0:1,0:2,0,  1,0,  2,2.0,2,2,1,0,0
7,1,VFL Bern,3,1,1,1,4,4,0,4,Season 58804,BERN,16,16,BERN VIENNA,13,13:51,0:0,0:1,0,  0,0,  1,1.0,0,2,0,0,0,11,-1,VFL Vienna,1,1,1,1,3,-2,4,VIENNA,13,13,BERN VIENNA,16,13:51,0:0,0:1,0,  0,0,  1,1.0,0,2,0,0,0
10,-1,VFL Brussels,3,1,1,1,3,4,-1,4,Season 58804,BRUSSELS,9,9,BRUSSELS ATHENS,10,13:51,0:0,1:0,0,  0,1,  0,1.0,0,1,0,0,0,15,1,VFL Athens,0,1,2,2,4,-2,1,ATHENS,10,10,BRUSSELS ATHENS,9,13:51,0:0,1:0,0,  0,1,  0,1.0,0,1,0,0,0
13,1,VFL Stockholm,3,1,0,2,3,6,-3,3,Season 58804,STOCKHOLM,11,11,STOCKHOLM AMSTERDAM,2,13:51,0:0,0:1,0,  0,0,  1,1.0,0,2,0,0,0,3,-1,VFL Amsterdam,2,0,1,3,2,1,6,AMSTERDAM,2,2,STOCKHOLM AMSTERDAM,11,13:51,0:0,0:1,0,  0,0,  1,1.0,0,2,0,0,0
16,0,VFL Ankara,3,0,1,2,1,7,-6,1,Season 58804,ANKARA,14,14,ANKARA PARIS,8,13:51,0:2,1:2,0,  2,1,  2,3.0,2,2,1,1,0,8,-1,VFL Paris,1,1,1,3,3,0,4,PARIS,8,8,ANKARA PARIS,14,13:51,0:2,1:2,0,  2,1,  2,3.0,2,2,1,1,0
3,0,VFL Amsterdam,4,3,0,1,6,3,3,9,Season 58804,AMSTERDAM,2,2,AMSTERDAM BRUSSELS,9,13:56,1:1,3:1,1,  1,3,  1,4.0,0,1,1,1,1,12,1,VFL Brussels,1,1,2,4,7,-3,4,BRUSSELS,9,9,AMSTERDAM BRUSSELS,2,13:56,1:1,3:1,1,  1,3,  1,4.0,0,1,1,1,1
4,0,VFL Berlin,4,2,2,0,6,3,3,8,Season 58804,BERLIN,3,3,BERLIN OSLO,6,13:56,1:1,2:1,1,  1,2,  1,3.0,0,1,1,1,0,9,1,VFL Oslo,1,1,2,4,4,0,4,OSLO,6,6,BERLIN OSLO,3,13:56,1:1,2:1,1,  1,2,  1,3.0,0,1,1,1,0
5,-1,VFL Lisbon,4,2,1,1,4,3,1,7,Season 58804,LISBON,7,7,LISBON BERN,16,13:56,0:0,1:0,0,  0,1,  0,1.0,0,1,0,0,0,10,1,VFL Bern,1,1,2,4,5,-1,4,BERN,16,16,LISBON BERN,7,13:56,0:0,1:0,0,  0,1,  0,1.0,0,1,0,0,0
6,-1,VFL Vienna,4,2,1,1,2,3,-1,7,Season 58804,VIENNA,13,13,VIENNA ANKARA,14,13:56,1:0,1:0,1,  0,1,  0,1.0,1,1,0,0,0,16,0,VFL Ankara,0,1,3,1,8,-7,1,ANKARA,14,14,VIENNA ANKARA,13,13:56,1:0,1:0,1,  0,1,  0,1.0,1,1,0,0,0
7,-1,VFL Madrid,4,2,0,2,8,5,3,6,Season 58804,MADRID,1,1,MADRID STOCKHOLM,11,13:56,1:0,3:1,1,  0,3,  1,4.0,1,1,1,1,1,14,1,VFL Stockholm,1,0,3,4,9,-5,3,STOCKHOLM,11,11,MADRID STOCKHOLM,1,13:56,1:0,3:1,1,  0,3,  1,4.0,1,1,1,1,1
11,-1,VFL Athens,4,1,1,2,3,4,-1,4,Season 58804,ATHENS,10,10,ATHENS COPENHAGEN,12,13:56,1:0,1:0,1,  0,1,  0,1.0,1,1,0,0,0,8,1,VFL Copenhagen,1,2,1,2,1,1,5,COPENHAGEN,12,12,ATHENS COPENHAGEN,10,13:56,1:0,1:0,1,  0,1,  0,1.0,1,1,0,0,0
13,1,VFL Paris,4,1,1,2,4,8,-4,4,Season 58804,PARIS,8,8,PARIS LONDON,4,13:56,1:2,1:5,1,  2,1,  5,6.0,2,2,1,1,1,2,0,VFL London,3,0,1,15,3,12,9,LONDON,4,4,PARIS LONDON,8,13:56,1:2,1:5,1,  2,1,  5,6.0,2,2,1,1,1
15,1,VFL Edinburgh,4,0,3,1,4,10,-6,3,Season 58804,EDINBURGH,15,15,EDINBURGH ROME,5,13:56,1:1,2:2,1,  1,2,  2,4.0,0,0,1,1,1,1,0,VFL Rome,3,1,0,8,3,5,10,ROME,5,5,EDINBURGH ROME,15,13:56,1:1,2:2,1,  1,2,  2,4.0,0,0,1,1,1
1,0,VFL Rome,5,4,1,0,12,5,7,13,Season 58804,ROME,5,5,ROME PARIS,8,14:00,3:1,4:2,3,  1,4,  2,6.0,1,1,1,1,1,14,1,VFL Paris,1,1,3,6,12,-6,4,PARIS,8,8,ROME PARIS,5,14:00,3:1,4:2,3,  1,4,  2,6.0,1,1,1,1,1
2,0,VFL London,5,4,0,1,18,5,13,12,Season 58804,LONDON,4,4,LONDON VIENNA,13,14:00,1:1,3:2,1,  1,3,  2,5.0,0,1,1,1,1,9,1,VFL Vienna,2,1,2,4,6,-2,7,VIENNA,13,13,LONDON VIENNA,4,14:00,1:1,3:2,1,  1,3,  2,5.0,0,1,1,1,1
4,-1,VFL Madrid,5,3,0,2,10,6,4,9,Season 58804,MADRID,1,1,MADRID AMSTERDAM,2,14:00,1:0,2:1,1,  0,2,  1,3.0,1,1,1,1,0,5,1,VFL Amsterdam,3,0,2,7,5,2,9,AMSTERDAM,2,2,MADRID AMSTERDAM,1,14:00,1:0,2:1,1,  0,2,  1,3.0,1,1,1,1,0
6,-1,VFL Copenhagen,5,2,2,1,3,1,2,8,Season 58804,COPENHAGEN,12,12,COPENHAGEN BRUSSELS,9,14:00,0:0,1:0,0,  0,1,  0,1.0,0,1,0,0,0,13,1,VFL Brussels,1,1,3,4,8,-4,4,BRUSSELS,9,9,COPENHAGEN BRUSSELS,12,14:00,0:0,1:0,0,  0,1,  0,1.0,0,1,0,0,0
8,-1,VFL Oslo,5,2,1,2,6,4,2,7,Season 58804,OSLO,6,6,OSLO ATHENS,10,14:00,1:0,2:0,1,  0,2,  0,2.0,1,1,1,0,0,12,1,VFL Athens,1,1,3,3,6,-3,4,ATHENS,10,10,OSLO ATHENS,6,14:00,1:0,2:0,1,  0,2,  0,2.0,1,1,1,0,0
11,1,VFL Bern,5,1,1,3,5,8,-3,4,Season 58804,BERN,16,16,BERN BERLIN,3,14:00,0:1,1:3,0,  1,1,  3,4.0,2,2,1,1,1,3,-1,VFL Berlin,3,2,0,9,4,5,11,BERLIN,3,3,BERN BERLIN,16,14:00,0:1,1:3,0,  1,1,  3,4.0,2,2,1,1,1
15,1,VFL Stockholm,5,1,0,4,4,10,-6,3,Season 58804,STOCKHOLM,11,11,STOCKHOLM EDINBURGH,15,14:00,0:0,0:1,0,  0,0,  1,1.0,0,2,0,0,0,10,-1,VFL Edinburgh,1,3,1,5,10,-5,6,EDINBURGH,15,15,STOCKHOLM EDINBURGH,11,14:00,0:0,0:1,0,  0,0,  1,1.0,0,2,0,0,0
16,0,VFL Ankara,5,0,2,3,3,10,-7,2,Season 58804,ANKARA,14,14,ANKARA LISBON,7,14:00,1:0,2:2,1,  0,2,  2,4.0,1,0,1,1,1,7,1,VFL Lisbon,2,2,1,6,5,1,8,LISBON,7,7,ANKARA LISBON,14,14:00,1:0,2:2,1,  0,2,  2,4.0,1,0,1,1,1
4,-1,VFL Amsterdam,6,4,0,2,10,5,5,12,Season 58804,AMSTERDAM,2,2,AMSTERDAM COPENHAGEN,12,14:05,2:0,3:0,2,  0,3,  0,3.0,1,1,1,1,0,8,1,VFL Copenhagen,2,2,2,3,4,-1,8,COPENHAGEN,12,12,AMSTERDAM COPENHAGEN,2,14:05,2:0,3:0,2,  0,3,  0,3.0,1,1,1,1,0
5,1,VFL Berlin,6,3,2,1,10,6,4,11,Season 58804,BERLIN,3,3,BERLIN ANKARA,14,14:05,0:2,1:2,0,  2,1,  2,3.0,2,2,1,1,0,14,-1,VFL Ankara,1,2,3,5,11,-6,5,ANKARA,14,14,BERLIN ANKARA,3,14:05,0:2,1:2,0,  2,1,  2,3.0,2,2,1,1,0
7,0,VFL Lisbon,6,2,3,1,8,7,1,9,Season 58804,LISBON,7,7,LISBON LONDON,4,14:05,1:0,2:2,1,  0,2,  2,4.0,1,0,1,1,1,2,0,VFL London,4,1,1,20,7,13,13,LONDON,4,4,LISBON LONDON,7,14:05,1:0,2:2,1,  0,2,  2,4.0,1,0,1,1,1
9,0,VFL Vienna,6,2,1,3,5,10,-5,7,Season 58804,VIENNA,13,13,VIENNA ROME,5,14:05,0:3,1:4,0,  3,1,  4,5.0,2,2,1,1,1,1,0,VFL Rome,5,1,0,16,6,10,16,ROME,5,5,VIENNA ROME,13,14:05,0:3,1:4,0,  3,1,  4,5.0,2,2,1,1,1
10,0,VFL Edinburgh,6,1,3,2,5,12,-7,6,Season 58804,EDINBURGH,15,15,EDINBURGH MADRID,1,14:05,0:0,0:2,0,  0,0,  2,2.0,0,2,1,0,0,3,-1,VFL Madrid,4,0,2,12,6,6,12,MADRID,1,1,EDINBURGH MADRID,15,14:05,0:0,0:2,0,  0,0,  2,2.0,0,2,1,0,0
12,0,VFL Athens,6,1,2,3,4,7,-3,5,Season 58804,ATHENS,10,10,ATHENS BERN,16,14:05,1:1,1:1,1,  1,1,  1,2.0,0,0,1,0,0,11,0,VFL Bern,1,2,3,6,9,-3,5,BERN,16,16,ATHENS BERN,10,14:05,1:1,1:1,1,  1,1,  1,2.0,0,0,1,0,0
13,-1,VFL Paris,6,1,2,3,7,13,-6,5,Season 58804,PARIS,8,8,PARIS STOCKHOLM,11,14:05,1:0,1:1,1,  0,1,  1,2.0,1,0,1,0,0,16,1,VFL Stockholm,1,1,4,5,11,-6,4,STOCKHOLM,11,11,PARIS STOCKHOLM,8,14:05,1:0,1:1,1,  0,1,  1,2.0,1,0,1,0,0
15,1,VFL Brussels,6,1,1,4,4,9,-5,4,Season 58804,BRUSSELS,9,9,BRUSSELS OSLO,6,14:05,0:0,0:1,0,  0,0,  1,1.0,0,2,0,0,0,6,-1,VFL Oslo,3,1,2,7,4,3,10,OSLO,6,6,BRUSSELS OSLO,9,14:05,0:0,0:1,0,  0,0,  1,1.0,0,2,0,0,0
1,0,VFL Rome,7,5,2,0,17,7,10,17,Season 58804,ROME,5,5,ROME LISBON,7,14:10,0:1,1:1,0,  1,1,  1,2.0,2,0,1,0,0,7,0,VFL Lisbon,2,4,1,9,8,1,10,LISBON,7,7,ROME LISBON,5,14:10,0:1,1:1,0,  1,1,  1,2.0,2,0,1,0,0
2,0,VFL London,7,5,1,1,21,7,14,16,Season 58804,LONDON,4,4,LONDON BERLIN,3,14:10,1:0,1:0,1,  0,1,  0,1.0,1,1,0,0,0,6,1,VFL Berlin,3,2,2,10,7,3,11,BERLIN,3,3,LONDON BERLIN,4,14:10,1:0,1:0,1,  0,1,  0,1.0,1,1,0,0,0
3,0,VFL Madrid,7,5,0,2,16,6,10,15,Season 58804,MADRID,1,1,MADRID PARIS,8,14:10,3:0,4:0,3,  0,4,  0,4.0,1,1,1,1,1,16,1,VFL Paris,1,2,4,7,17,-10,5,PARIS,8,8,MADRID PARIS,1,14:10,3:0,4:0,3,  0,4,  0,4.0,1,1,1,1,1
4,-1,VFL Oslo,7,4,1,2,10,4,6,13,Season 58804,OSLO,6,6,OSLO COPENHAGEN,12,14:10,0:0,3:0,0,  0,3,  0,3.0,0,1,1,1,0,10,1,VFL Copenhagen,2,2,3,3,7,-4,8,COPENHAGEN,12,12,OSLO COPENHAGEN,6,14:10,0:0,3:0,0,  0,3,  0,3.0,0,1,1,1,0
8,-1,VFL Edinburgh,7,2,3,2,7,13,-6,9,Season 58804,EDINBURGH,15,15,EDINBURGH AMSTERDAM,2,14:10,0:1,2:1,0,  1,2,  1,3.0,2,1,1,1,0,5,1,VFL Amsterdam,4,0,3,11,7,4,12,AMSTERDAM,2,2,EDINBURGH AMSTERDAM,15,14:10,0:1,2:1,0,  1,2,  1,3.0,2,1,1,1,0
9,-1,VFL Ankara,7,2,2,3,9,13,-4,8,Season 58804,ANKARA,14,14,ANKARA ATHENS,10,14:10,2:2,4:2,2,  2,4,  2,6.0,0,1,1,1,1,13,1,VFL Athens,1,2,4,6,11,-5,5,ATHENS,10,10,ANKARA ATHENS,14,14:10,2:2,4:2,2,  2,4,  2,6.0,0,1,1,1,1
12,1,VFL Bern,7,1,3,3,6,9,-3,6,Season 58804,BERN,16,16,BERN BRUSSELS,9,14:10,0:0,0:0,0,  0,0,  0,0.0,0,0,0,0,0,14,-1,VFL Brussels,1,2,4,4,9,-5,5,BRUSSELS,9,9,BERN BRUSSELS,16,14:10,0:0,0:0,0,  0,0,  0,0.0,0,0,0,0,0
15,-1,VFL Stockholm,7,1,2,4,7,13,-6,5,Season 58804,STOCKHOLM,11,11,STOCKHOLM VIENNA,13,14:10,2:1,2:2,2,  1,2,  2,4.0,1,0,1,1,1,11,1,VFL Vienna,2,2,3,7,12,-5,8,VIENNA,13,13,STOCKHOLM VIENNA,11,14:10,2:1,2:2,2,  1,2,  2,4.0,1,0,1,1,1
5,-1,VFL Berlin,8,4,2,2,14,9,5,14,Season 58804,BERLIN,3,3,BERLIN ROME,5,14:14,2:1,4:2,2,  1,4,  2,6.0,1,1,1,1,1,3,1,VFL Rome,5,2,1,19,11,8,17,ROME,5,5,BERLIN ROME,3,14:14,2:1,4:2,2,  1,4,  2,6.0,1,1,1,1,1
6,1,VFL Amsterdam,8,4,1,3,12,8,4,13,Season 58804,AMSTERDAM,2,2,AMSTERDAM OSLO,6,14:14,1:0,1:1,1,  0,1,  1,2.0,1,0,1,0,0,4,0,VFL Oslo,4,2,2,11,5,6,14,OSLO,6,6,AMSTERDAM OSLO,2,14:14,1:0,1:1,1,  0,1,  1,2.0,1,0,1,0,0
7,0,VFL Lisbon,8,2,5,1,12,11,1,11,Season 58804,LISBON,7,7,LISBON STOCKHOLM,11,14:14,0:2,3:3,0,  2,3,  3,6.0,2,0,1,1,1,16,1,VFL Stockholm,1,3,4,10,16,-6,6,STOCKHOLM,11,11,LISBON STOCKHOLM,7,14:14,0:2,3:3,0,  2,3,  3,6.0,2,0,1,1,1
8,-1,VFL Copenhagen,8,3,2,3,4,7,-3,11,Season 58804,COPENHAGEN,12,12,COPENHAGEN BERN,16,14:14,1:0,1:0,1,  0,1,  0,1.0,1,1,0,0,0,13,1,VFL Bern,1,3,4,6,10,-4,6,BERN,16,16,COPENHAGEN BERN,12,14:14,1:0,1:0,1,  0,1,  0,1.0,1,1,0,0,0
11,0,VFL Vienna,8,2,2,4,7,15,-8,8,Season 58804,VIENNA,13,13,VIENNA MADRID,1,14:14,0:1,0:3,0,  1,0,  3,3.0,2,2,1,1,0,1,-1,VFL Madrid,6,0,2,19,6,13,18,MADRID,1,1,VIENNA MADRID,13,14:14,0:1,0:3,0,  1,0,  3,3.0,2,2,1,1,0
12,-1,VFL Paris,8,2,2,4,8,17,-9,8,Season 58804,PARIS,8,8,PARIS EDINBURGH,15,14:14,1:0,1:0,1,  0,1,  0,1.0,1,1,0,0,0,10,1,VFL Edinburgh,2,3,3,7,14,-7,9,EDINBURGH,15,15,PARIS EDINBURGH,8,14:14,1:0,1:0,1,  0,1,  0,1.0,1,1,0,0,0
14,1,VFL Athens,8,1,3,4,6,11,-5,6,Season 58804,ATHENS,10,10,ATHENS LONDON,4,14:14,0:0,0:0,0,  0,0,  0,0.0,0,0,0,0,0,2,0,VFL London,5,2,1,21,7,14,17,LONDON,4,4,ATHENS LONDON,10,14:14,0:0,0:0,0,  0,0,  0,0.0,0,0,0,0,0
14,0,VFL Brussels,8,1,3,4,6,11,-5,6,Season 58804,BRUSSELS,9,9,BRUSSELS ANKARA,14,14:14,0:1,2:2,0,  1,2,  2,4.0,2,0,1,1,1,9,0,VFL Ankara,2,3,3,11,15,-4,9,ANKARA,14,14,BRUSSELS ANKARA,9,14:14,0:1,2:2,0,  1,2,  2,4.0,2,0,1,1,1
1,0,VFL Madrid,9,7,0,2,24,7,17,21,Season 58804,MADRID,1,1,MADRID LISBON,7,14:19,2:1,5:1,2,  1,5,  1,6.0,1,1,1,1,1,8,1,VFL Lisbon,2,5,2,13,16,-3,11,LISBON,7,7,MADRID LISBON,1,14:19,2:1,5:1,2,  1,5,  1,6.0,1,1,1,1,1
2,-1,VFL Rome,9,6,2,1,23,12,11,20,Season 58804,ROME,5,5,ROME ATHENS,10,14:19,3:0,4:1,3,  0,4,  1,5.0,1,1,1,1,1,15,1,VFL Athens,1,3,5,7,15,-8,6,ATHENS,10,10,ROME ATHENS,5,14:19,3:0,4:1,3,  0,4,  1,5.0,1,1,1,1,1
3,1,VFL London,9,5,3,1,21,7,14,18,Season 58804,LONDON,4,4,LONDON BRUSSELS,9,14:19,0:0,0:0,0,  0,0,  0,0.0,0,0,0,0,0,14,0,VFL Brussels,1,4,4,6,11,-5,7,BRUSSELS,9,9,LONDON BRUSSELS,4,14:19,0:0,0:0,0,  0,0,  0,0.0,0,0,0,0,0
10,1,VFL Ankara,9,2,4,3,11,15,-4,10,Season 58804,ANKARA,14,14,ANKARA COPENHAGEN,12,14:19,0:0,0:0,0,  0,0,  0,0.0,0,0,0,0,0,7,-1,VFL Copenhagen,3,3,3,4,7,-3,12,COPENHAGEN,12,12,ANKARA COPENHAGEN,14,14:19,0:0,0:0,0,  0,0,  0,0.0,0,0,0,0,0
11,-1,VFL Stockholm,9,2,3,4,11,16,-5,9,Season 58804,STOCKHOLM,11,11,STOCKHOLM BERLIN,3,14:19,0:0,1:0,0,  0,1,  0,1.0,0,1,0,0,0,6,1,VFL Berlin,4,2,3,14,10,4,14,BERLIN,3,3,STOCKHOLM BERLIN,11,14:19,0:0,1:0,0,  0,1,  0,1.0,0,1,0,0,0
12,1,VFL Edinburgh,9,2,3,4,8,16,-8,9,Season 58804,EDINBURGH,15,15,EDINBURGH VIENNA,13,14:19,0:1,1:2,0,  1,1,  2,3.0,2,2,1,1,0,9,-1,VFL Vienna,3,2,4,9,16,-7,11,VIENNA,13,13,EDINBURGH VIENNA,15,14:19,0:1,1:2,0,  1,1,  2,3.0,2,2,1,1,0
13,1,VFL Paris,9,2,2,5,9,19,-10,8,Season 58804,PARIS,8,8,PARIS AMSTERDAM,2,14:19,0:2,1:2,0,  2,1,  2,3.0,2,2,1,1,0,5,-1,VFL Amsterdam,5,1,3,14,9,5,16,AMSTERDAM,2,2,PARIS AMSTERDAM,8,14:19,0:2,1:2,0,  2,1,  2,3.0,2,2,1,1,0
16,1,VFL Bern,9,1,3,5,6,14,-8,6,Season 58804,BERN,16,16,BERN OSLO,6,14:19,0:2,0:4,0,  2,0,  4,4.0,2,2,1,1,1,4,0,VFL Oslo,5,2,2,15,5,10,17,OSLO,6,6,BERN OSLO,16,14:19,0:2,0:4,0,  2,0,  4,4.0,2,2,1,1,1
3,-1,VFL Oslo,10,6,2,2,17,5,12,20,Season 58804,OSLO,6,6,OSLO ANKARA,14,14:23,0:0,2:0,0,  0,2,  0,2.0,0,1,1,0,0,12,1,VFL Ankara,2,4,4,11,17,-6,10,ANKARA,14,14,OSLO ANKARA,6,14:23,0:0,2:0,0,  0,2,  0,2.0,0,1,1,0,0
5,0,VFL Amsterdam,10,6,1,3,16,9,7,19,Season 58804,AMSTERDAM,2,2,AMSTERDAM BERN,16,14:23,1:0,2:0,1,  0,2,  0,2.0,1,1,1,0,0,16,0,VFL Bern,1,3,6,6,16,-10,6,BERN,16,16,AMSTERDAM BERN,2,14:23,1:0,2:0,1,  0,2,  0,2.0,1,1,1,0,0
