Pos_x,Dir_x,Team_x,P,W_x,D_x,L_x,GF_x,GA_x,DIFF_x,Points_x,Season,TEAM_x,HOMECODE,AWAYCODE_x,TC_x,AWAYCODE_y,TIMEr_x,HTR_x,FTR_x,HT_home_goals_x,HT_away_goals_x,FT_home_goals_x,FT_away_goals_x,Sum_Goals_x,HT_Results_1_0_2_x,FT_Results_1_0_2_x,Under_Over_1.5_x,Under_Over_2.5_x,Under_Over_3.5_x,Pos_y,Dir_y,Team_y,W_y,D_y,L_y,GF_y,GA_y,DIFF_y,Points_y,TEAM_y,HOMECODE_x,AWAYCODE,TC_y,HOMECODE_y,TIMEr_y,HTR_y,FTR_y,HT_home_goals_y,HT_away_goals_y,FT_home_goals_y,FT_away_goals_y,Sum_Goals_y,HT_Results_1_0_2_y,FT_Results_1_0_2_y,Under_Over_1.5_y,Under_Over_2.5_y,Under_Over_3.5_y
16,0,VFL Bern,14,1,2,11,9,30,-21,5,Season 58801,BERN,16,16,BERN BRUSSELS,9,07:39,0:1,0:1,0,  1,0,  1,1.0,2,2,0,0,0,8,-1,VFL Brussels,5,4,5,11,16,-5,19,BRUSSELS,9,9,BERN BRUSSELS,16,07:39,0:1,0:1,0,  1,0,  1,1.0,2,2,0,0,0
1,0,VFL London,15,11,3,1,31,13,18,36,Season 58801,LONDON,4,4,LONDON OSLO,6,07:43,0:0,1:0,0,  0,1,  0,1.0,0,1,0,0,0,3,0,VFL Oslo,9,2,4,25,12,13,29,OSLO,6,6,LONDON OSLO,4,07:43,0:0,1:0,0,  0,1,  0,1.0,0,1,0,0,0
5,-1,VFL Rome,15,8,3,4,29,20,9,27,Season 58801,ROME,5,5,ROME AMSTERDAM,2,07:43,3:1,4:2,3,  1,4,  2,6.0,1,1,1,1,1,2,0,VFL Amsterdam,9,2,4,37,14,23,29,AMSTERDAM,2,2,ROME AMSTERDAM,5,07:43,3:1,4:2,3,  1,4,  2,6.0,1,1,1,1,1
7,0,VFL Berlin,15,7,2,6,16,16,0,23,Season 58801,BERLIN,3,3,BERLIN MADRID,1,07:43,1:0,2:1,1,  0,2,  1,3.0,1,1,1,1,0,6,1,VFL Madrid,7,3,5,24,10,14,24,MADRID,1,1,BERLIN MADRID,3,07:43,1:0,2:1,1,  0,2,  1,3.0,1,1,1,1,0
8,0,VFL Brussels,15,5,5,5,11,16,-5,20,Season 58801,BRUSSELS,9,9,BRUSSELS VIENNA,13,07:43,0:0,0:0,0,  0,0,  0,0.0,0,0,0,0,0,9,0,VFL Vienna,5,4,6,13,19,-6,19,VIENNA,13,13,BRUSSELS VIENNA,9,07:43,0:0,0:0,0,  0,0,  0,0.0,0,0,0,0,0
10,-1,VFL Athens,15,5,3,7,21,26,-5,18,Season 58801,ATHENS,10,10,ATHENS BERN,16,07:43,2:0,3:1,2,  0,3,  1,4.0,1,1,1,1,1,16,0,VFL Bern,1,2,12,10,33,-23,5,BERN,16,16,ATHENS BERN,10,07:43,2:0,3:1,2,  0,3,  1,4.0,1,1,1,1,1
12,1,VFL Stockholm,15,5,2,8,18,24,-6,17,Season 58801,STOCKHOLM,11,11,STOCKHOLM COPENHAGEN,12,07:43,0:1,0:2,0,  1,0,  2,2.0,2,2,1,0,0,11,-1,VFL Copenhagen,5,3,7,9,21,-12,18,COPENHAGEN,12,12,STOCKHOLM COPENHAGEN,11,07:43,0:1,0:2,0,  1,0,  2,2.0,2,2,1,0,0
13,1,VFL Ankara,15,4,4,7,18,22,-4,16,Season 58801,ANKARA,14,14,ANKARA EDINBURGH,15,07:43,0:1,1:1,0,  1,1,  1,2.0,2,0,1,0,0,14,1,VFL Edinburgh,4,4,7,13,19,-6,16,EDINBURGH,15,15,ANKARA EDINBURGH,14,07:43,0:1,1:1,0,  1,1,  1,2.0,2,0,1,0,0
15,0,VFL Paris,15,3,3,9,10,30,-20,12,Season 58801,PARIS,8,8,PARIS LISBON,7,07:43,0:1,0:2,0,  1,0,  2,2.0,2,2,1,0,0,4,-1,VFL Lisbon,8,3,4,22,12,10,27,LISBON,7,7,PARIS LISBON,8,07:43,0:1,0:2,0,  1,0,  2,2.0,2,2,1,0,0
1,0,VFL London,16,12,3,1,32,13,19,39,Season 58801,LONDON,4,4,LONDON LISBON,7,07:48,0:0,1:0,0,  0,1,  0,1.0,0,1,0,0,0,5,1,VFL Lisbon,8,3,5,22,13,9,27,LISBON,7,7,LONDON LISBON,4,07:48,0:0,1:0,0,  0,1,  0,1.0,0,1,0,0,0
